school,year,title,imageUrl,sourceUrl
"东南大学","2026","东南大学2026年硕士研究生复试基本线","https://t1.chei.com.cn/news/img/2293451712.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451708.html"
"东南大学","2026","东南大学2026年硕士研究生复试基本线","https://t1.chei.com.cn/news/img/2293451713.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451708.html"
"大连理工大学","2026","大连理工大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293451706.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451705.html"
"大连理工大学","2026","大连理工大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293451707.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451705.html"
"四川大学","2026","四川大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293451702.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451701.html"
"四川大学","2026","四川大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293451703.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451701.html"
"四川大学","2026","四川大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293451704.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451701.html"
"华南理工大学","2026","华南理工大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293451700.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451699.html"
"山东大学","2026","山东大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t1.chei.com.cn/news/img/2293451695.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451694.html"
"山东大学","2026","山东大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293451696.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451694.html"
"山东大学","2026","山东大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t2.chei.com.cn/news/img/2293451697.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451694.html"
"山东大学","2026","山东大学2026年硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t4.chei.com.cn/news/img/2293451698.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451694.html"
"厦门大学","2026","厦门大学2026年硕士研究生复试基本分数线","https://t4.chei.com.cn/news/img/2293451691.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451690.html"
